Effect_ID,Paper_ID,Disease_Prevalence,Unit_Prevalence,DiseasePrev_SE,SourcePrev,Year,Month,SourceYear,Location,SourceLocation,Region_HoeghGuldberg,Region_Kleypas,Lat,Lon,SourceLatLon,SST_C,SourceTemp,Notes
EI0013,CD006,0.165,%,0.05,Results Spatial and temporal occurrence of disease Coral diseases p457,2010,Jan,Materials and Methods Disease surveys p456,"Grande Terre, New Caledonia",Figure 1,Western Pacific,Melanesia,-21.432377,165.455534,"GoogleMaps Grande Terre, Figure 1",,,
EI0014,CD006,0.287,%,0.1,Results Spatial and temporal occurrence of disease Coral diseases p457,2013,Feb,Materials and Methods Disease surveys p456,"Grande Terre, New Caledonia",Figure 1,Western Pacific,Melanesia,-21.432377,165.455534,"GoogleMaps Grande Terre, Figure 1",,,
EI0015,CD008,4.9,%,,Table 2A,1998,Aug,Table 1A,"Andros Island, Bahamas",Methods p78,Caribbean & Gulf of Mexico,Caribbean/Atlantic,24.35506,77.66884,Averaged from Table 1A,,,Reef-crest sites
EI0016,CD008,15.2,%,,Table 2B,1998,Aug,Table 1B,"Andros Island, Bahamas",Methods p78,Caribbean & Gulf of Mexico,Caribbean/Atlantic,24.41561,77.67863,Averaged from Table 1B,,,Fore-reef sites
EI0017,CD007,0.0021,%,,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0018,CD007,7.13E-04,%,,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0019,CD007,0,%,0,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0020,CD007,0.0014,%,,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0021,CD007,0.0043,%,,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0022,CD007,0,%,0,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0023,CD007,7.13E-04,%,,Table 1 calculated using sample size in Results p4,2005,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.75,Averaged from Results Sea Temperature p6,
EI0024,CD007,0.0028,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0025,CD007,7.06E-04,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0026,CD007,0.0042,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0027,CD007,0.0106,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0028,CD007,0.0141,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0029,CD007,0.0014,%,,Table 1 calculated using sample size in Results p5,2006,Oct-Nov,Materials and Methods p3,"Dominica, West Indies",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,15.38062,-61.41153,"Figure 1, site 8, converted to decimal using SB excel calculator",29.125,Averaged from Results Sea Temperature p6,
EI0030,CD010,22.08333,%,1.66667,"Figure 6b, Metadigitise",2004,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
EI0031,CD010,30.625,%,1.875,"Figure 6b, Metadigitise",2005,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
EI0032,CD010,10.625,%,1.25,"Figure 6b, Metadigitise",2006,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
EI0033,CD010,11.875,%,1.66667,"Figure 6b, Metadigitise",2007,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
EI0034,CD010,17.5,%,2.08333,"Figure 6b, Metadigitise",2008,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
EI0035,CD010,17.5,%,2.08333,"Figure 6b, Metadigitise",2009,,Figure 6b,"Upper Florida Keys, USA",Materials and Methods Survey methods p370,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.12361,-80.29736,"Table 1, Key Largo Dry Rocks, converted using SB excel calculator",,,
,,63.5,%,,Materials and methods,2010,Feb,Materials and methods,Hoi Ha Wan Marine Park and Port Shelter,Materials and methods,Coral Triangle & SE Asia,Southeast Asia,22.46417,114.3315,Materials and Methods,,,
EI0037,CD012,0.44,mean no. colonies/m^2,0.03401361,"Table 2, Figure 2",2010,May-Jun,Materials and methods Survey area,Tunku Abdul Rahman Park,Table 2,Coral Triangle & SE Asia,Southeast Asia,6.0333,116.08333,"Figure 1, converted using GoogleMaps",,,Prevalence SE extracted using MetaDigitise in Rstudio
EI0038,CD012,0.15,mean no. colonies/m^2,0.03205128,"Table 2, Figure 2",2010,May-Jun,Materials and methods Survey area,Tun Sakaran Marine Park,Table 2,Coral Triangle & SE Asia,Southeast Asia,4.7,118.85,"Figure 1, converted using GoogleMaps",,,Prevalence SE extracted using MetaDigitise in Rstudio
EI0039,CD012,0,mean no. colonies/m^2,0,"Table 2, Figure 2",2010,May-Jun,Materials and methods Survey area,Sidapan Island Park,Table 2,Coral Triangle & SE Asia,Southeast Asia,4.11667,118.625,"Figure 1, converted using GoogleMaps",,,Prevalence SE extracted using MetaDigitise in Rstudio
EI0040,CD013,2.8,%,0.9,Results and Discussion p17067,2006,May-Jun,Methods p17069,"Central Visayas, Philippines",Figure S1,Coral Triangle & SE Asia,Southeast Asia,9.889633,123.375483,"Table S1, Zaragosa",,,MPA
EI0041,CD013,4.5,%,1.2,Results and Discussion p17067,2006,May-Jun,Methods p17069,"Central Visayas, Philippines",Figure S1,Coral Triangle & SE Asia,Southeast Asia,9.889583,123.375767,"Table S1, Zaragosa",,,Fished sites
EI0042,CD014,71.942446,%,28.41726619,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,Sumilon Island East,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0043,CD014,55.0359712,%,7.73381295,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,Sumilon Island West,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0044,CD014,44.9640288,%,4.67625899,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,North Bais Bay,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.636538,123.221981,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0045,CD014,20.6834532,%,8.63309353,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,"Bato, Cebu",Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.636538,123.221981,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0046,CD014,14.028777,%,9.71223022,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,Cogon Reef and Marine Reserve,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0047,CD014,10.971223,%,1.43884892,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,"Bolisong, Negros Oriental",Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.636538,123.221981,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0048,CD014,10.4316547,%,7.1942446,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,South Bais Bay,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.636538,123.221981,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0049,CD014,8.2733813,%,11.51079137,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,"Cangalwang, Siquijor Island",Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0050,CD014,0,%,0,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,Apo Island,Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0051,CD014,0,%,0,Figure 5,1998,"Feb, Apr, Jun, Aug, Oct, Dec",Materials and Methods p97,"Bantayan, Negros Oriental",Figure 5,Coral Triangle & SE Asia,Southeast Asia,9.295181,123.386776,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, Location from centralized location"
EI0052,CD017,14.2,%,,Table 1,2005,May,Methods 2.2 Disease prevalence and incidence p2,Northwestern Hawaiian Islands,Methods 2.1 Description of sites p2,Western Pacific,Polynesia,23.833333,-166.166667,"Methods 2.1 Description of sites p2, GoogleMaps",,,
EI0053,CD017,8.743,%,,Table 1,2006,May,Methods 2.2 Disease prevalence and incidence p2,Northwestern Hawaiian Islands,Methods 2.1 Description of sites p2,Western Pacific,Polynesia,23.833333,-166.166667,"Methods 2.1 Description of sites p2, GoogleMaps",,,
EI0054,CD017,4.2,%,,Table 1,2008,Jun,Methods 2.2 Disease prevalence and incidence p2,American Samoa,Methods 2.1 Description of sites p2,Western Pacific,Polynesia,-14.233333,-170.666667,"Methods 2.1 Description of sites p2, GoogleMaps",,,
EI0055,CD017,1.294,%,,Table 1,2009,Sep,Methods 2.2 Disease prevalence and incidence p2,American Samoa,Methods 2.1 Description of sites p2,Western Pacific,Polynesia,-14.233333,-170.666667,"Methods 2.1 Description of sites p2, GoogleMaps",,,
EI0056,CD018,2.0769231,%,0.52564103,Figure 5,2016,Aug,Figure 5,"Persian Gulf, NE Arabian Peninsula",Materials and methods Disease surveys p830,Western Indian Ocean,Middle East,24.699346,53.868765,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 16"
EI0057,CD018,0.4358974,%,0.25641026,Figure 5,2016,Aug,Figure 5,"Strait of Hormuz, NE Arabian Peninsula",Materials and methods Disease surveys p830,Western Indian Ocean,Middle East,26.423767,56.39574,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 10"
EI0058,CD018,0.2307692,%,0.15384615,Figure 5,2016,Aug,Figure 5,"Oman Sea, NE Arabian Peninsula",Materials and methods Disease surveys p830,Western Indian Ocean,Middle East,25.324163,56.428579,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 8"
EI0059,CD019,0.27,%,0.08,"Results Distribution, prevalence, and seasonality of MWS p4",2006,Sep,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2","Kaneohe Bay, Oahu, HI",Materials and Methods Study site p2,Western Pacific,Polynesia,21.464469,-157.815386,GoogleMaps,,,
EI0060,CD019,0.35,%,0.13,"Results Distribution, prevalence, and seasonality of MWS p4",2007,May,"Materials and Methods Distribution, prevalence, and seasonality of MWS p2","Kaneohe Bay, Oahu, HI",Materials and Methods Study site p2,Western Pacific,Polynesia,21.464469,-157.815386,GoogleMaps,,,
EI0061,CD022,0,%,,Figure 3,1995,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0062,CD022,0,%,,Figure 3,1995,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0063,CD022,0,%,,Figure 3,1995,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0064,CD022,0,%,,Figure 3,1995,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0065,CD022,0,%,,Figure 3,1995,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0066,CD022,1.8987342,%,,Figure 3,1996,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0067,CD022,2.6582278,%,,Figure 3,1996,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0068,CD022,0,%,,Figure 3,1996,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0069,CD022,0,%,,Figure 3,1996,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0070,CD022,0,%,,Figure 3,1996,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0071,CD022,15.0632911,%,,Figure 3,1999,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0072,CD022,49.6202532,%,,Figure 3,1999,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0073,CD022,19.1139241,%,,Figure 3,1999,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0074,CD022,6.2025316,%,,Figure 3,1999,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0075,CD022,1.3924051,%,,Figure 3,1999,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0076,CD022,26.0759494,%,,Figure 3,2000,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0077,CD022,58.4810127,%,,Figure 3,2000,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0078,CD022,18.1012658,%,,Figure 3,2000,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0079,CD022,9.3670886,%,,Figure 3,2000,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0080,CD022,2.1518987,%,,Figure 3,2000,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0081,CD022,24.8101266,%,,Figure 3,2001,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0082,CD022,54.556962,%,,Figure 3,2001,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0083,CD022,18.3544304,%,,Figure 3,2001,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0084,CD022,10.8860759,%,,Figure 3,2001,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0085,CD022,3.5443038,%,,Figure 3,2001,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0086,CD022,15.443038,%,,Figure 3,2003,,Figure 3,"Carmelitas North, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0087,CD022,39.3670886,%,,Figure 3,2003,,Figure 3,"Carmelitas South, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0088,CD022,13.9240506,%,,Figure 3,2003,,Figure 3,"Mujeres West, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0089,CD022,15.8227848,%,,Figure 3,2003,,Figure 3,"Mujeres East, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0090,CD022,3.6708861,%,,Figure 3,2003,,Figure 3,"Carbinero, Mona Island, Puerto Rico",Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,18.078674,-67.892642,GoogleMaps for Isla de Mona,,,"Prevalence extracted using MetaDigitise in Rstudio, sample size 2"
EI0091,CD026,0.38,%,0.1,Results p1039,2007,Nov,Results p1039,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,GA
EI0092,CD026,0.12,%,0.05,Figure 3b,2007,Nov,Figure 3b,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,"BrB Prevalence extracted using MetaDigitise in Rstudio, sample size 43"
EI0093,CD026,1.12,%,0.31,Results p1038,2007,Nov,Results p1038,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,UWS
EI0094,CD026,0.13,%,0.08,Figure 3b,2008,Jan,Figure 3b,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,"BrB Prevalence extracted using MetaDigitise in Rstudio, sample size 48"
EI0095,CD026,2.67,%,0.52,Results p1038,2008,Jan,Results p1038,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,UWS
EI0096,CD026,3.29,%,0.58,Results p1038,2008,Aug,Results p1038,Heron Island,Figure 1,Western Pacific,Australia,-23.449452,151.977678,GoogleMaps for Heron Reef,,,BrB
