Effect_ID,Paper_ID,Transect_Type,Transect_Num,Transect_Length_m,Transect_Width_m,Plot_area_m^2,SourceTransect,Notes
EI0070,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0071,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0072,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0073,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0074,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0075,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0076,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0077,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0078,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0079,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0080,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0081,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0082,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0083,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0084,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0085,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0086,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0087,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0088,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0089,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0090,CD022,Circle,2,20,,314,Materials and Methods p68,"length = diameter, more a ""site"" than a transect"
EI0091,CD026,Belt,7,15,1,15,"Methods Disease surveys p1037, only 43 transects conducted this year",
EI0092,CD026,Belt,7,15,1,15,"Methods Disease surveys p1037, only 43 transects conducted this year",
EI0093,CD026,Belt,7,15,1,15,"Methods Disease surveys p1037, only 43 transects conducted this year",
EI0094,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0095,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0096,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0097,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0098,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0099,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0100,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0101,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0102,CD026,Belt,8,15,1,15,Methods Disease surveys p1037,
EI0103,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0104,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0105,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0106,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0107,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0108,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0109,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0110,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0109,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0110,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0109,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0110,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0109,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0110,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0109,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0110,CD027,Belt,5,20,2,40,Methods Study sites and biannual disease surveys p817,
EI0111,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0112,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0113,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0114,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0115,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0116,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0117,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0118,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0119,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0120,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0121,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0122,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0123,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0124,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0125,CD028,Belt,3,20,4,80,Materials and Methods Survey method p404,
EI0126,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0127,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0128,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0129,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0130,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0131,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0132,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0133,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0134,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0135,CD029,Belt,9,20,4,80,Materials and methods Survey method p949-950,
EI0136,CD029,Belt,6,20,4,80,Materials and methods Survey method p949-950,Blue Bowl has no reef flat transects
EI0137,CD029,Belt,6,20,4,80,Materials and methods Survey method p949-950,Blue Bowl has no reef flat transects
EI0138,CD030,Belt,15,15,2,30,"Methods Data collection, Table 1",
EI0139,CD030,Belt,15,15,2,30,"Methods Data collection, Table 1",
EI0140,CD031,Belt,3,15,2,30,Material and methods 2b Coral disease surveys and visual census of reef fishes,Transect number is per site
EI0141,CD031,Belt,3,15,2,30,Material and methods 2b Coral disease surveys and visual census of reef fishes,Transect number is per site
EI0142,CD031,Belt,3,15,2,30,Material and methods 2b Coral disease surveys and visual census of reef fishes,Transect number is per site
EI0143,CD031,Belt,3,15,2,30,Material and methods 2b Coral disease surveys and visual census of reef fishes,Transect number is per site
EI0144,CD032,Belt,3,15,2,30,Methods Coral health surveys p2257,Transect number is per site
EI0145,CD032,Belt,3,15,2,30,Methods Coral health surveys p2257,Transect number is per site
EI0146,CD033,Belt,24,15,2,30,Methods Study sites and data collection p1047,
EI0147,CD033,Belt,21,15,2,30,Methods Study sites and data collection p1047,
EI0148,CD035,Belt,3,20,2,40,Materials and Methods p43,Transect number is per site
EI0149,CD036,Belt,24,20,2,40,Materials and Methods Quantifying coral disease and coral community structure p138,
EI0150,CD036,Belt,24,20,2,40,Materials and Methods Quantifying coral disease and coral community structure p138,
EI0151,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0152,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0153,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0154,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0155,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0156,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0157,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0158,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0159,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0160,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0161,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0162,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0163,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0164,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0165,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0166,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0167,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0168,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0169,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0170,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0171,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0172,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0173,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0174,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0175,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0176,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0177,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0178,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0179,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0180,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0181,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0182,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0183,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0184,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0185,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0186,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0187,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0188,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0189,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0190,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0191,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0192,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0193,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0194,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0195,CD037,Quadrat,10,4,4,16,Materials and Methods p2860,
EI0196,CD038,Belt,6,10,1,10,"Materials and Methods Field data collection methods, Figure 3b",
EI0197,CD038,Belt,3,10,1,10,"Materials and Methods Field data collection methods, Figure 3b",
EI0198,CD038,Belt,3,10,1,10,"Materials and Methods Field data collection methods, Figure 3b",
EI0199,CD038,Belt,3,10,1,10,"Materials and Methods Field data collection methods, Figure 3b",
EI0200,CD038,Belt,7,10,1,10,"Materials and Methods Field data collection methods, Figure 3b",
EI0201,CD039,Belt and Quadrat,60,1,1,1,Materials and methods 2d Coral disease surveys p3,Transect data is calculated based on quadrats (transect exists as a reference for where to place quadrats for collecting data); n for se is still 12 for number of transects (ignores that there are 5 quadrats per transect)
EI0202,CD039,Belt and Quadrat,60,1,1,1,Materials and methods 2d Coral disease surveys p3,Transect data is calculated based on quadrats (transect exists as a reference for where to place quadrats for collecting data); n for se is still 12 for number of transects (ignores that there are 5 quadrats per transect)
EI0203,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0204,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0205,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0206,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0207,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0208,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0209,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0210,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0211,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0212,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0213,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0214,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0215,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0216,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0217,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0218,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0219,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0220,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0221,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0222,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0223,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0224,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0225,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0226,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0227,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0228,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0229,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0230,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0231,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0232,CD040,Belt,3,20,2,40,Materials and methods Study site and sampling design p474,
EI0233,CD041,Line,73,10,,,Methods p668,
EI0234,CD041,Line,41,10,,,Methods p668,
EI0235,CD041,Line,36,10,,,Methods p668,
EI0236,CD041,Line,88,10,,,Methods p668,
EI0237,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0238,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0239,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0240,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0241,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0242,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0243,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0244,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0245,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0246,CD042,Belt,3,50,2,100,Materials and Methods p40,
EI0247,CD043,Circle,,,,113,Materials and Methods Prevalence of coral disease p39,
EI0248,CD043,Circle,,,,113,Materials and Methods Prevalence of coral disease p39,
EI0249,CD043,Circle,,,,113,Materials and Methods Prevalence of coral disease p39,
EI0250,CD043,Circle,,,,113,Materials and Methods Prevalence of coral disease p39,
EI0036,CD044,Line,12,20,,,p1407,
EI0251,CD009,Belt,4,60,6,360,Materials and methods Sampling and study design p35,
EI0252,CD011,Belt,4,10,1,10,p293,
EI0253,CD011,Belt,4,10,1,10,p293,
EI0254,CD011,Belt,4,10,1,10,p293,
EI0255,CD011,Belt,4,10,1,10,p293,
EI0256,CD015,Line,64,7,,,Materials and Methods,
EI0257,CD015,Line,64,7,,,Materials and Methods,
EI0258,CD015,Line,64,7,,,Materials and Methods,
EI0259,CD015,Line,64,7,,,Materials and Methods,
EI0260,CD015,Line,64,7,,,Materials and Methods,
EI0261,CD015,Line,64,7,,,Materials and Methods,
EI0262,CD015,Line,64,7,,,Materials and Methods,
EI0263,CD015,Line,62,7,,,Materials and Methods,
EI0264,CD015,Line,62,7,,,Materials and Methods,
EI0265,CD015,Line,62,7,,,Materials and Methods,
EI0266,CD015,Line,62,7,,,Materials and Methods,
EI0267,CD015,Line,62,7,,,Materials and Methods,
EI0268,CD015,Line,62,7,,,Materials and Methods,
EI0269,CD015,Line,62,7,,,Materials and Methods,
EI0270,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0271,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0272,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0273,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0274,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0275,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0276,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0277,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0278,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0279,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0280,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0281,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0282,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0283,CD045,Belt,30,20,2,40,Materials and Method Coral health assessments p1236,
EI0284,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0285,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0286,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0287,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0288,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0289,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0290,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0291,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0292,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0293,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0294,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0295,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0296,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0297,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0298,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0299,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0300,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0301,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0302,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0303,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0304,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0305,CD020,Belt,1,25,6,150,Materials and Methods Black band disease surveys,
EI0306,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0307,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0308,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0309,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0310,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0311,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0312,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0313,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0314,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0315,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0316,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0317,CD016,Belt,3,20,1,20,Materials and Methods Survey method p167,
EI0318,CD046,Belt,3,30,5,150,Materials and Methods Data collection and construction of ortho-mosaics,
EI0319,CD047,Belt,3,30,5,150,Materials and Methods Survey design p3,
EI0320,CD047,Belt,3,30,5,150,Materials and Methods Survey design p3,
EI0321,CD048,Belt,3,50,2,100,Materials and Methods Underwater survey p81,
EI0322,CD048,Belt,3,50,2,100,Materials and Methods Underwater survey p81,
EI0323,CD049,Belt,2,20,2,40,Materials and Methods Coral Disease,
EI0324,CD049,Belt,2,20,2,40,Materials and Methods Coral Disease,
EI0325,CD049,Belt,2,20,2,40,Materials and Methods Coral Disease,
EI0326,CD049,Belt,2,20,2,40,Materials and Methods Coral Disease,
EI0327,CD050,Belt,12,20,1,20,Materials and Methods Field data collection and statistical analysis p353,
EI0328,CD051,Belt,24,25,2,50,Materials and Methods Disease surveys,
EI0329,CD051,Belt,24,25,2,50,Materials and Methods Disease surveys,
EI0330,CD051,Belt,24,25,2,50,Materials and Methods Disease surveys,
EI0331,CD052,Belt,3,15,2,30,Methods p151,
EI0332,CD052,Belt,2,15,2,30,Methods p151,
EI0333,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0334,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0335,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0336,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0337,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0338,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0339,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0340,CD053,Belt,18,20,1,20,Materials and Methods 2.2.2 Coral disease abundance p106,
EI0341,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0342,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0343,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0344,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0345,CD054,Belt,6,30,2,60,Materials and Methods p182,
EI0346,CD054,Belt,6,30,2,60,Materials and Methods p182,
EI0347,CD054,Belt,3,30,2,60,Materials and Methods p182,
EI0348,CD054,Belt,3,30,2,60,Materials and Methods p182,
