Effect_ID,Paper_ID,DiseasePrev_SD,SST_SE,SST_SD,Sample_Area_km2,Site_Num,SourceSite_Num,Coral_N,Mixed_Sp,Notes
EI0080,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0081,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0082,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0083,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0084,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0085,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0086,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0087,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0088,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0089,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0090,CD022,,,,3.14,5,Materials and Methods p68,2166,1,Data aggregated for whole study
EI0091,CD026,,,,0.645,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0092,CD026,0.32787193,,,0.645,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0093,CD026,,,,0.645,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0094,CD026,0.55425626,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0095,CD026,,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0096,CD026,,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0097,CD026,0.34641016,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0098,CD026,0.76210236,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0099,CD026,2.5634352,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0100,CD026,,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0101,CD026,,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0102,CD026,0.96994845,,,0.72,6,Figure 1,36030,1,"CoralNum aggregated for whole study, other metrics effect size specific"
EI0103,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0104,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0105,CD027,3.25246251,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0106,CD027,1.62623126,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0107,CD027,,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0108,CD027,,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0109,CD027,0.81311563,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0110,CD027,1.62623126,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0109,CD027,4.87869377,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0110,CD027,7.31804065,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0109,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0110,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0109,CD027,10.57050317,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0110,CD027,0.81311563,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0109,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0110,CD027,0,,,0.2,1,Methods Study sites and biannual disease surveys p816,,1,Mixed Montipora sp
EI0111,CD028,0.11904762,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0112,CD028,0,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0113,CD028,0,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0114,CD028,0,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0115,CD028,1.71428571,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0116,CD028,0,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0117,CD028,0.23809524,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0118,CD028,1.833333,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0119,CD028,0.45238095,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0120,CD028,0.54761905,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0121,CD028,0.14285714,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0122,CD028,0.26190476,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0123,CD028,0.47619048,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0124,CD028,1.85714286,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0125,CD028,0,,,0.24,15,Figure 8,12352,1,Coral number aggregated from whole study
EI0126,CD029,1.38461538,,,0.72,6,Materials and methods Study sites p949,,1,
EI0127,CD029,0.69230769,,,0.72,6,Materials and methods Study sites p949,,1,
EI0128,CD029,2.38461538,,,0.72,6,Materials and methods Study sites p949,,1,
EI0129,CD029,0.45536007,,,0.72,6,Materials and methods Study sites p949,,1,
EI0130,CD029,1.09286418,,,0.72,6,Materials and methods Study sites p949,,1,
EI0131,CD029,0.36428806,,,0.72,6,Materials and methods Study sites p949,,1,
EI0132,CD029,0.86518414,,,0.72,6,Materials and methods Study sites p949,,1,
EI0133,CD029,0.54643209,,,0.72,6,Materials and methods Study sites p949,,1,
EI0134,CD029,0.45536007,,,0.72,6,Materials and methods Study sites p949,,1,
EI0135,CD029,0.72857612,,,0.72,6,Materials and methods Study sites p949,,1,
EI0136,CD029,1.11539983,,,0.14,6,Materials and methods Study sites p949,,1,
EI0137,CD029,7.58471886,,,0.14,6,Materials and methods Study sites p949,,1,
EI0138,CD030,,,,0.45,10,Methods Data collection,5983,1,
EI0139,CD030,,,,0.45,10,Methods Data collection,4516,1,
EI0140,CD031,,,,2.34,26,Results 3a Influence of protected areas on coral disease following an acute disturbance,36104,1,Coral number aggregated from whole study
EI0141,CD031,,,,2.34,26,Results 3a Influence of protected areas on coral disease following an acute disturbance,36104,1,Coral number aggregated from whole study
EI0142,CD031,,,,1.89,21,Results 3b Influence of protected areas on coral disease following a chronic disturbance,36104,1,Coral number aggregated from whole study
EI0143,CD031,,,,1.89,21,Results 3b Influence of protected areas on coral disease following a chronic disturbance,36104,1,Coral number aggregated from whole study
EI0144,CD032,,,,1.89,21,Methods Study location and protected areas management p2557,80866,1,Coral number aggregated from whole study
EI0145,CD032,,,,1.8,20,Methods Study location and protected areas management p2557,80866,1,Coral number aggregated from whole study
EI0146,CD033,,,,0.72,4,Figure 1,7043,1,
EI0147,CD033,,,,0.63,4,Figure 1,9468,1,
EI0148,CD035,,,,2.28,19,Table 1,113747,1,
EI0149,CD036,,,,0.96,8,Materials and Methods Quantifying coral disease and coral community structure p137,,1,
EI0150,CD036,,,,0.96,8,Materials and Methods Quantifying coral disease and coral community structure p137,,1,
EI0151,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0152,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0153,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0154,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0155,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0156,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0157,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0158,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0159,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0160,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0161,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0162,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0163,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0164,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0165,CD037,,0.1,,0.16,2,Materials and Methods p2860,96,0,
EI0166,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0167,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0168,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0169,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0170,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0171,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0172,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0173,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0174,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0175,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0176,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0177,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0178,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0179,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0180,CD037,,0.1,,0.16,2,Materials and Methods p2860,172,0,
EI0181,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0182,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0183,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0184,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0185,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0186,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0187,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0188,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0189,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0190,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0191,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0192,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0193,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0194,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0195,CD037,,0.1,,0.16,2,Materials and Methods p2860,28,0,
EI0196,CD038,5.707549,,,0.06,1,Materials and Methods Study site,,0,
EI0197,CD038,2.186084,,,0.03,1,Materials and Methods Study site,,0,
EI0198,CD038,4.119927,,,0.03,1,Materials and Methods Study site,,0,
EI0199,CD038,3.026885,,,0.03,1,Materials and Methods Study site,,0,
EI0200,CD038,0,,,0.07,1,Materials and Methods Study site,,0,
EI0201,CD039,,,,0.06,4,Materials and methods 2d Coral disease surveys p3,,0,
EI0202,CD039,,,,0.06,4,Materials and methods 2d Coral disease surveys p3,,0,
EI0203,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0204,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0205,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0206,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0207,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0208,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0209,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0210,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0211,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0212,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0213,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0214,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0215,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0216,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0217,CD040,,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0218,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0219,CD040,0.2856442,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0220,CD040,0.2040316,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0221,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0222,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0223,CD040,1.1629801,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0224,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0225,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0226,CD040,0.4284663,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0227,CD040,2.8972486,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0228,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0229,CD040,1.3670117,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0230,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0231,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0232,CD040,0,,,0.12,1,Figure 3a,,1,Effect sizes are per site
EI0233,CD041,,,,,5,Table 1,821,1,
EI0234,CD041,,,,,4,Table 1,516,1,
EI0235,CD041,,,,,4,Table 1,501,1,
EI0236,CD041,,,,,9,Table 1,1125,1,
EI0237,CD042,0.04,,,,2,Materials and Methods p40,1439,1,
EI0238,CD042,0.04,,,,2,Materials and Methods p40,1439,1,
EI0239,CD042,0.3,,,,2,Materials and Methods p40,1439,1,
EI0240,CD042,1.7,,,,2,Materials and Methods p40,1439,1,
EI0241,CD042,0,,,,2,Materials and Methods p40,1439,1,
EI0242,CD042,0.04,,,,2,Materials and Methods p40,1439,1,
EI0243,CD042,0.04,,,,2,Materials and Methods p40,1439,1,
EI0244,CD042,0,,,,2,Materials and Methods p40,1439,1,
EI0245,CD042,1.95,,,,2,Materials and Methods p40,1439,1,
EI0246,CD042,0.07,,,,2,Materials and Methods p40,1439,1,
EI0247,CD043,,,,,6,Figure 1,,1,
EI0248,CD043,,,,,6,Figure 1,,1,
EI0249,CD043,,,,,6,Figure 1,,1,
EI0250,CD043,,,,,6,Figure 1,,1,
EI0036,CD044,1.26,,,,1,p1407,,0,
EI0251,CD009,,,0.9333,1.44,1,Figure 1,,0,
EI0252,CD011,4.931034,,,0.04,1,p293,,0,
EI0253,CD011,3.862069,,,0.04,1,p293,,0,
EI0254,CD011,4.931034,,,0.04,1,p293,,0,
EI0255,CD011,2.137931,,,0.04,1,p293,,0,
EI0256,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0257,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0258,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0259,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0260,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0261,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0262,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0263,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0264,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0265,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0266,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0267,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0268,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0269,CD015,,,,,1,Materials and Methods,,0,Effect sizes are per site
EI0270,CD045,4.073204,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0271,CD045,1.481165,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0272,CD045,27.401557,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0273,CD045,14.07107,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0274,CD045,8.701846,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0275,CD045,4.813787,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0276,CD045,4.443496,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0277,CD045,6.897247,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0278,CD045,0.8114408,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0279,CD045,33.2690739,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0280,CD045,5.6800858,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0281,CD045,5.6800858,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0282,CD045,2.4343225,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0283,CD045,4.2600643,,,1.2,10,Figure 1,2327,1,Coral number aggregated from whole study
EI0284,CD020,,,,0.15,22,Material and Methods Black band disease surveys,726,1,
EI0285,CD020,,,,0.15,22,Material and Methods Black band disease surveys,930,1,
EI0286,CD020,,,,0.15,22,Material and Methods Black band disease surveys,848,1,
EI0287,CD020,,,,0.15,22,Material and Methods Black band disease surveys,1308,1,
EI0288,CD020,,,,0.15,22,Material and Methods Black band disease surveys,1749,1,
EI0289,CD020,,,,0.15,22,Material and Methods Black band disease surveys,1830,1,
EI0290,CD020,,,,0.15,22,Material and Methods Black band disease surveys,2184,1,
EI0291,CD020,,,,0.15,22,Material and Methods Black band disease surveys,6000,1,
EI0292,CD020,,,,0.15,22,Material and Methods Black band disease surveys,4200,1,
EI0293,CD020,,,,0.15,22,Material and Methods Black band disease surveys,6852,1,
EI0294,CD020,,,,0.15,22,Material and Methods Black band disease surveys,5778,1,
EI0295,CD020,,,,0.15,22,Material and Methods Black band disease surveys,3294,1,
EI0296,CD020,,,,0.15,22,Material and Methods Black band disease surveys,3780,1,
EI0297,CD020,,,,0.15,22,Material and Methods Black band disease surveys,5748,1,
EI0298,CD020,,,,0.15,22,Material and Methods Black band disease surveys,5208,1,
EI0299,CD020,,,,0.15,22,Material and Methods Black band disease surveys,474,1,
EI0300,CD020,,,,0.15,22,Material and Methods Black band disease surveys,5556,1,
EI0301,CD020,,,,0.15,22,Material and Methods Black band disease surveys,3720,1,
EI0302,CD020,,,,0.15,22,Material and Methods Black band disease surveys,4320,1,
EI0303,CD020,,,,0.15,22,Material and Methods Black band disease surveys,6588,1,
EI0304,CD020,,,,0.15,22,Material and Methods Black band disease surveys,1281,1,
EI0305,CD020,,,,0.15,22,Material and Methods Black band disease surveys,1716,1,
EI0306,CD016,,,,0.06,4,Materials and Methods Survey methods p167,,1,
EI0307,CD016,,,,0.06,4,Materials and Methods Survey methods p167,,1,
EI0308,CD016,,,,0.06,4,Materials and Methods Survey methods p167,,1,
EI0309,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0310,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0311,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0312,CD016,,,,0.06,2,Materials and Methods Survey methods p167,,1,
EI0313,CD016,,,,0.06,2,Materials and Methods Survey methods p167,,1,
EI0314,CD016,,,,0.06,2,Materials and Methods Survey methods p167,,1,
EI0315,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0316,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0317,CD016,,,,0.06,3,Materials and Methods Survey methods p167,,1,
EI0318,CD046,0,,,2.7,6,Figure 1,,1,"Sampling area calculated from transect data, but summing sampling area reported in Table 2 = 3.775"
EI0319,CD047,,,,4.5,10,Materials and Methods Survey design p3,,1,Acropora plate corals
EI0320,CD047,,,,4.05,9,Materials and Methods Survey design p3,,1,Acropora plate corals
EI0321,CD048,,,,0.3,1,Figure 1,24,0,"Effect sizes are per site, colony number mean per transect"
EI0322,CD048,,,,0.3,1,Figure 1,10,0,"Effect sizes are per site, colony number mean per transect"
EI0323,CD049,2.014476,,0.7,0.8,10,Materials and Methods Coral Disease,,1,
EI0324,CD049,8.944272,,0.8,0.8,10,Materials and Methods Coral Disease,,1,
EI0325,CD049,6.204585,,0.9,0.8,10,Materials and Methods Coral Disease,,1,
EI0326,CD049,6.365743,,1.1,0.8,10,Materials and Methods Coral Disease,,1,
,Manikandan et al 2016,35.80069,,,,,,,,
